Acc test

Time, Pressure, TempC, Height, AccX, AccY, AccZ, AccT, wX, wY, wZ
60566, 98988.72, 46.88, 0.84, -0.06, -0.79, 10.00, 10.03, 0.00, 0.00, 0.00
60839, 98988.72, 18.55, 0.84, -0.07, -0.79, 9.96, 9.99, 0.00, 0.00, 0.00
61165, 98988.72, 18.55, 0.84, -0.07, -0.80, 9.99, 10.02, 0.00, 0.00, 0.00
61438, 98988.72, 46.88, 0.84, -0.05, -0.78, 9.97, 10.00, 0.00, 0.00, 0.00
61765, 98988.72, 21.97, 0.84, -0.06, -0.78, 9.97, 10.00, 0.00, 0.00, 0.00
62041, 98988.72, 22.95, 0.84, -0.04, -0.78, 10.01, 10.04, -0.06, -0.06, 0.00
62365, 98880.21, 20.02, 0.90, -0.05, -0.78, 9.98, 10.01, -0.06, -0.12, 0.00
62638, 98880.21, 24.41, 0.90, -0.06, -0.81, 9.98, 10.01, 0.00, 0.06, 0.00
62964, 98880.21, 18.55, 0.90, -0.07, -0.81, 9.98, 10.01, 0.00, 0.00, 0.00
63237, 98880.21, 45.90, 0.90, -0.05, -0.81, 10.00, 10.03, -0.12, 0.00, 0.00
63563, 98771.71, 39.55, 0.96, -0.05, -0.80, 10.00, 10.03, -0.06, 0.00, 0.00
63837, 98663.20, 19.53, 1.02, -0.07, -0.80, 9.95, 9.98, 0.00, -0.06, 0.00
64165, 98663.20, 39.55, 1.02, -0.06, -0.80, 9.92, 9.96, 0.06, 0.00, 0.00
64438, 98663.20, 46.88, 1.02, -0.07, -0.83, 9.97, 10.00, 0.00, 0.06, 0.00
64762, 98554.69, 18.55, 1.08, -0.07, -0.83, 9.97, 10.01, 0.00, 0.12, 0.00
