heat test

Time, Pressure, TempC, Height, AccX, AccY, AccZ, AccT, wX, wY, wZ0, 0.00, 0.00
22600, 100616.32, 27.83, 0.00, -0.37, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
22926, 100507.82, 24.41, 0.06, -0.37, -0.92, 9.96, 10.01, 0.00, 0.00, 0.00
23198, 100507.82, 24.41, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
23528, 100507.82, 26.86, 0.06, -0.37, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
23800, 100616.32, 34.18, 0.00, -0.37, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
24125, 100507.82, 38.57, 0.06, -0.37, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
24397, 100507.82, 24.41, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
24724, 100616.32, 39.06, 0.00, -0.37, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
24996, 100507.82, 56.15, 0.06, -0.37, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
25324, 100616.32, 34.67, 0.00, -0.37, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
25598, 100616.32, 52.25, 0.00, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
25923, 100616.32, 23.93, 0.00, -0.37, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
26195, 100507.82, 24.41, 0.06, -0.36, -0.91, 9.98, 10.03, 0.00, 0.00, 0.00
26522, 100507.82, 55.18, 0.06, -0.36, -0.92, 9.98, 10.03, 0.00, 0.00, 0.00
26796, 100616.32, 25.88, 0.00, -0.36, -0.91, 9.98, 10.03, 0.00, 0.00, 0.00
27121, 100507.82, 23.93, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
27394, 100616.32, 24.90, 0.00, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
27723, 100507.82, 23.93, 0.06, -0.37, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
27996, 100616.32, 25.88, 0.00, -0.36, -0.92, 9.96, 10.01, 0.00, 0.00, 0.00
28320, 100616.32, 25.39, 0.00, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
28593, 100507.82, 25.39, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
28919, 100507.82, 24.90, 0.06, -0.36, -0.92, 9.98, 10.03, 0.00, 0.00, 0.00
29193, 100616.32, 27.83, 0.00, -0.36, -0.91, 9.98, 10.03, 0.00, 0.00, 0.00
29518, 100616.32, 25.88, 0.00, -0.36, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
29794, 100507.82, 30.76, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
30118, 100616.32, 34.18, 0.00, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
30391, 100507.82, 26.37, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
30717, 100616.32, 25.88, 0.00, -0.36, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
30990, 100616.32, 26.86, 0.00, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
31316, 100507.82, 26.37, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
31592, 100616.32, 29.79, 0.00, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
31916, 100616.32, 26.86, 0.00, -0.36, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
32189, 100616.32, 25.39, 0.00, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
32516, 100507.82, 53.22, 0.06, -0.35, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
32788, 100507.82, 27.34, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
33115, 100507.82, 28.81, 0.06, -0.35, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
33388, 100507.82, 38.09, 0.06, -0.35, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
33717, 100507.82, 33.69, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
33989, 100507.82, 34.67, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
34314, 100507.82, 28.81, 0.06, -0.35, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
34586, 100507.82, 27.83, 0.06, -0.35, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
34914, 100616.32, 30.76, 0.00, -0.35, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
35186, 100507.82, 28.81, 0.06, -0.35, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
35513, 100507.82, 28.32, 0.06, -0.36, -0.92, 9.97, 10.02, 0.00, 0.00, 0.00
35787, 100507.82, 46.39, 0.06, -0.35, -0.92, 9.96, 10.01, 0.00, 0.00, 0.00
36112, 100616.32, 48.83, 0.00, -0.36, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
36384, 100616.32, 29.30, 0.00, -0.35, -0.91, 9.97, 10.02, 0.00, 0.00, 0.00
36711, 100507.82, 26.86, 0.06, -0.36, -0.92, 9.98, 10.03, 0.00, 0.00, 0.00
